source_model,model_label,response_count,treatment_response_count,validated_accuracy,validated_accuracy_ci_low,validated_accuracy_ci_high,validated_tone,validated_tone_ci_low,validated_tone_ci_high,validated_complementarity,validated_complementarity_ci_low,validated_complementarity_ci_high,validated_gilbert_urgency,validated_gilbert_urgency_ci_low,validated_gilbert_urgency_ci_high,validated_discern_q7,validated_discern_q7_ci_low,validated_discern_q7_ci_high,descriptive_comprehensiveness,descriptive_comprehensiveness_ci_low,descriptive_comprehensiveness_ci_high,descriptive_clarity,descriptive_clarity_ci_low,descriptive_clarity_ci_high
chatgpt_free,GPT-5.5,16,8,3.6875,3.45234375,3.9390624999999995,1.65625,1.46875,1.8125,0.875,0.73359375,0.96875,1.90625,1.54609375,2.2828124999999995,3.5,2.6546875,4.4703124999999995,4.458333333333334,4.327864583333334,4.615104166666667,5.0,5.0,5.0
gemini_free,Gemini 3.5 Flash,16,8,3.71875,3.54609375,3.90625,1.71875,1.59375,1.84375,0.84375,0.71875,0.9375,2.0625,1.53125,2.5,3.125,2.246875,4.125,4.625,4.504427083333334,4.765885416666666,4.979166666666667,4.947916666666667,5.0
claude_free,Claude Sonnet 4.6,16,8,3.3125,3.0,3.5164062499999997,1.78125,1.65625,1.90625,0.875,0.75,1.0,2.0625,1.73359375,2.3914062499999997,3.1875,2.371875,3.940624999999999,4.90625,4.827864583333334,4.979166666666667,4.90625,4.802083333333334,4.989583333333334
